Country Name,Indicator,Year,Value
Albania,Participation rate,2021,68.57
Andorra,Participation rate,2021,
Armenia,Participation rate,2021,73.644
Austria,Participation rate,2021,77.14
Azerbaijan,Participation rate,2021,67.952
Belarus,Participation rate,2021,78.887
Belgium,Participation rate,2021,69.675
Bosnia and Herzegovina,Participation rate,2021,61.426
Bulgaria,Participation rate,2021,71.894
Channel Islands,Participation rate,2021,72.843
Croatia,Participation rate,2021,68.805
Cyprus,Participation rate,2021,77.563
Czechia,Participation rate,2021,76.497
Denmark,Participation rate,2021,79.583
Estonia,Participation rate,2021,78.856
Faroe Islands,Participation rate,2021,
Finland,Participation rate,2021,78.692
France,Participation rate,2021,73.009
Georgia,Participation rate,2021,66.157
Germany,Participation rate,2021,78.655
Gibraltar,Participation rate,2021,
Greece,Participation rate,2021,66.82
Greenland,Participation rate,2021,
Hungary,Participation rate,2021,76.166
Iceland,Participation rate,2021,84.87
Ireland,Participation rate,2021,74.793
Isle of Man,Participation rate,2021,
Italy,Participation rate,2021,64.484
Kazakhstan,Participation rate,2021,79.814
Kosovo,Participation rate,2021,
Kyrgyz Republic,Participation rate,2021,68.519
Latvia,Participation rate,2021,75.802
Liechtenstein,Participation rate,2021,
Lithuania,Participation rate,2021,78.184
Luxembourg,Participation rate,2021,73.32
Moldova,Participation rate,2021,74.416
Monaco,Participation rate,2021,
Montenegro,Participation rate,2021,59.147
Netherlands,Participation rate,2021,83.678
North Macedonia,Participation rate,2021,63.969
Norway,Participation rate,2021,79.865
Poland,Participation rate,2021,72.95
Portugal,Participation rate,2021,75.238
Romania,Participation rate,2021,65.49
Russian Federation,Participation rate,2021,75.187
San Marino,Participation rate,2021,
Serbia,Participation rate,2021,71.351
Slovak Republic,Participation rate,2021,74.565
Slovenia,Participation rate,2021,75.534
Spain,Participation rate,2021,73.651
Sweden,Participation rate,2021,82.828
Switzerland,Participation rate,2021,83.686
Tajikistan,Participation rate,2021,42.436
Turkiye,Participation rate,2021,56.89
Turkmenistan,Participation rate,2021,49.184
Ukraine,Participation rate,2021,66.814
United Kingdom,Participation rate,2021,77.017
Uzbekistan,Participation rate,2021,60.684
Albania,Participation rate,2022,70.893
Andorra,Participation rate,2022,
Armenia,Participation rate,2022,72.769
Austria,Participation rate,2022,77.652
Azerbaijan,Participation rate,2022,70.302
Belarus,Participation rate,2022,79.393
Belgium,Participation rate,2022,70.513
Bosnia and Herzegovina,Participation rate,2022,61.76
Bulgaria,Participation rate,2022,73.659
Channel Islands,Participation rate,2022,72.934
Croatia,Participation rate,2022,70.01
Cyprus,Participation rate,2022,79.052
Czechia,Participation rate,2022,76.951
Denmark,Participation rate,2022,80.361
Estonia,Participation rate,2022,80.873
Faroe Islands,Participation rate,2022,
Finland,Participation rate,2022,79.654
France,Participation rate,2022,73.571
Georgia,Participation rate,2022,68.776
Germany,Participation rate,2022,79.466
Gibraltar,Participation rate,2022,
Greece,Participation rate,2022,69.138
Greenland,Participation rate,2022,
Hungary,Participation rate,2022,77.186
Iceland,Participation rate,2022,86.496
Ireland,Participation rate,2022,76.499
Isle of Man,Participation rate,2022,
Italy,Participation rate,2022,65.556
Kazakhstan,Participation rate,2022,79.988
Kosovo,Participation rate,2022,
Kyrgyz Republic,Participation rate,2022,69.058
Latvia,Participation rate,2022,76.737
Liechtenstein,Participation rate,2022,
Lithuania,Participation rate,2022,78.303
Luxembourg,Participation rate,2022,73.135
Moldova,Participation rate,2022,74.013
Monaco,Participation rate,2022,
Montenegro,Participation rate,2022,59.714
Netherlands,Participation rate,2022,84.73
North Macedonia,Participation rate,2022,65.904
Norway,Participation rate,2022,80.352
Poland,Participation rate,2022,73.667
Portugal,Participation rate,2022,76.446
Romania,Participation rate,2022,66.548
Russian Federation,Participation rate,2022,75.521
San Marino,Participation rate,2022,
Serbia,Participation rate,2022,72.445
Slovak Republic,Participation rate,2022,76.041
Slovenia,Participation rate,2022,76.744
Spain,Participation rate,2022,74.281
Sweden,Participation rate,2022,83.433
Switzerland,Participation rate,2022,83.141
Tajikistan,Participation rate,2022,42.578
Turkiye,Participation rate,2022,58.925
Turkmenistan,Participation rate,2022,50.448
Ukraine,Participation rate,2022,
United Kingdom,Participation rate,2022,77.012
Uzbekistan,Participation rate,2022,60.807
Albania,Participation rate,2023,71.301
Andorra,Participation rate,2023,
Armenia,Participation rate,2023,72.792
Austria,Participation rate,2023,77.976
Azerbaijan,Participation rate,2023,70.173
Belarus,Participation rate,2023,79.324
Belgium,Participation rate,2023,70.576
Bosnia and Herzegovina,Participation rate,2023,62.678
Bulgaria,Participation rate,2023,73.783
Channel Islands,Participation rate,2023,72.459
Croatia,Participation rate,2023,69.877
Cyprus,Participation rate,2023,79.761
Czechia,Participation rate,2023,77.299
Denmark,Participation rate,2023,80.754
Estonia,Participation rate,2023,81.335
Faroe Islands,Participation rate,2023,
Finland,Participation rate,2023,79.704
France,Participation rate,2023,73.688
Georgia,Participation rate,2023,68.863
Germany,Participation rate,2023,79.861
Gibraltar,Participation rate,2023,
Greece,Participation rate,2023,69.273
Greenland,Participation rate,2023,
Hungary,Participation rate,2023,78.074
Iceland,Participation rate,2023,86.713
Ireland,Participation rate,2023,77.226
Isle of Man,Participation rate,2023,
Italy,Participation rate,2023,66.696
Kazakhstan,Participation rate,2023,79.801
Kosovo,Participation rate,2023,
Kyrgyz Republic,Participation rate,2023,69.259
Latvia,Participation rate,2023,76.639
Liechtenstein,Participation rate,2023,
Lithuania,Participation rate,2023,78.175
Luxembourg,Participation rate,2023,74.007
Moldova,Participation rate,2023,72.367
Monaco,Participation rate,2023,
Montenegro,Participation rate,2023,59.846
Netherlands,Participation rate,2023,85.497
North Macedonia,Participation rate,2023,65.889
Norway,Participation rate,2023,80.318
Poland,Participation rate,2023,74.689
Portugal,Participation rate,2023,77.653
Romania,Participation rate,2023,66.732
Russian Federation,Participation rate,2023,75.719
San Marino,Participation rate,2023,
Serbia,Participation rate,2023,72.173
Slovak Republic,Participation rate,2023,76.455
